frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
600,171.0,[1015.2563658873539 430.81599164839804 1371.4730552212625 774.7121228049002],[1158.3682861328125 718.4136962890625 1249.7796630859375 758.5992431640625],0.6192194223403931,ECR5771,0.2532500227154893
604,171.0,[1020.5734274302843 484.3106330927768 1404.9720399389187 850.8104914055924],[1175.693359375 787.7133178710938 1268.24365234375 832.6829223632812],0.6719971299171448,OCR5779,0.22380871478398498
610,171.0,[1026.8340707947848 573.2412429789517 1441.478614286066 982.2360446781825],[1199.796630859375 923.8631591796875 1301.325927734375 971.1092529296875],0.6597278714179993,NCT5779,0.1163099454638601
732,226.0,[563.923851443906 299.38576341507724 914.052607318881 683.7887561008818],[682.5242309570312 605.1590576171875 750.08251953125 638.22021484375],0.5620187520980835,IJK1866,0.07340035456591508
739,226.0,[529.6420135761844 350.9410661174064 900.4116920926765 757.9230013982739],[654.51904296875 668.3382568359375 732.3824462890625 719.1080932617188],0.42907842993736267,YBI1886,0.042652636143516436
740,226.0,[525.4956423102406 356.5449211168292 899.5214404489805 766.5601103866721],[644.0382080078125 682.7928466796875 728.948486328125 724.01318359375],0.6098194122314453,NBR1464,0.1105766542071453
741,226.0,[521.0341739130603 363.8765391107515 898.1527640356936 776.5013559697916],[642.9898071289062 694.0398559570312 726.0440673828125 737.8262329101562],0.6348150968551636,YBZ3864,0.10408816855600893
742,226.0,[516.129224633472 372.8781619013644 896.7302029157554 790.2948884178529],[642.47021484375 706.41748046875 722.7471313476562 747.5762329101562],0.5940281748771667,HBH3864,0.07018770736926828
743,226.0,[509.4304159746647 382.6162273621936 894.3330142708375 806.8349169423446],[631.716552734375 712.6968994140625 721.1292724609375 765.0989990234375],0.27896925806999207,NSR1864,0.3967545529870006
745,226.0,[497.73477289278117 397.8369072409462 890.333374441155 831.6203363985919],[626.7232666015625 746.526123046875 713.3509521484375 784.95263671875],0.6096966862678528,NBR1864,0.5436134233011812
