frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
738,174.0,[909.043585749143 382.5970086260513 1233.1659708296552 750.7867037679841],[1020.4403076171875 671.6622314453125 1102.433837890625 717.1829833984375],0.37195345759391785,XIG7069,0.02050231677783333
742,174.0,[898.1165538309633 400.82644179756323 1234.7961255773057 774.9003466155926],[1021.8006591796875 703.5294189453125 1084.0081787109375 734.0172119140625],0.571167528629303,CIF2865,0.12963194752003215
743,174.0,[894.4528374309928 403.40900366150095 1233.1454382503778 778.4720877205871],[1013.5925903320312 699.1016235351562 1088.4605712890625 752.247802734375],0.28346776962280273,IIC7165,0.07365848540591574
747,174.0,[886.2735681168324 423.2694150244855 1231.0665436690933 805.137831131958],[998.6372680664062 738.908935546875 1086.3798828125 779.4237670898438],0.6259174346923828,CIF2865,0.1555576495408481
748,174.0,[883.9221911475835 428.64585511682174 1231.3328214127616 811.1209506620959],[999.7547607421875 746.2763671875 1078.7464599609375 782.2205200195312],0.6083711981773376,CXF1405,0.40473763333891166
750,174.0,[877.2823720658699 439.33180121157136 1232.3026764574854 829.3532157176518],[997.3225708007812 761.2584228515625 1077.65576171875 801.2041625976562],0.6416386365890503,CIF1865,0.1975584857435468
760,174.0,[845.9158835134497 488.3713101534989 1227.0582649714295 913.3260443546944],[974.6921997070312 840.7144775390625 1062.956787109375 895.7918701171875],0.4242132902145386,CIF2605,0.39910973861852944
768,174.0,[821.3926642362458 534.9569373025543 1227.416314602449 989.741711555638],[951.10107421875 921.9058837890625 1046.21435546875 968.487060546875],0.6230512857437134,CAF2605,0.3334666281561839
885,471.0,[964.2304856324919 387.8914095790865 1236.6331203281127 649.1933161093066],[1074.530517578125 585.303955078125 1147.596923828125 625.648193359375],0.2605632543563843,IO74145,0.021351802649010612
890,471.0,[963.7264926171064 413.27833685021824 1244.2697236525119 673.5637443391711],[1068.916015625 603.4183349609375 1155.242919921875 641.9404907226562],0.4470337927341461,ILL4446,0.07737906322595935
897,471.0,[960.3435823053837 446.17687276971617 1249.055838597938 721.0970720631345],[1070.4849853515625 639.0177612304688 1142.4849853515625 675.3627319335938],0.3480493724346161,MII5346,0.19013124571883344
910,471.0,[956.9364966408428 497.0550303511411 1268.0550034530536 800.4388913495536],[1075.4410400390625 716.3325805664062 1167.059814453125 761.2622680664062],0.6046695709228516,MIC6595,0.018352210612805533
912,471.0,[956.8991361804281 499.10637603300825 1271.522885303136 816.4349568378766],[1075.8287353515625 729.93896484375 1150.425537109375 767.923828125],0.5556166768074036,INT6596,0.028927539031142802
917,471.0,[951.6902725254515 524.0658466358544 1279.4280902842836 853.1348170911805],[1079.4598388671875 765.7340698242188 1159.3194580078125 813.2173461914062],0.3462328612804413,JIT6506,0.07082850333485943
918,471.0,[950.6264225390364 541.102704331699 1279.7944000662578 862.0692682481085],[1085.8985595703125 774.4901733398438 1157.646240234375 810.1796264648438],0.36824437975883484,MIU6506,0.09649803132795556
919,471.0,[948.3091949745483 553.5943518569208 1279.84680805303 871.0102541701077],[1075.034423828125 775.0131225585938 1166.46923828125 820.0039672851562],0.3296085596084595,IIY5516,0.13178319477719905
925,471.0,[949.7598594969975 596.1659377584366 1291.548627910214 911.6972715749599],[1080.276611328125 822.2908935546875 1163.7373046875 870.8387451171875],0.4300040602684021,IIN6516,0.10757094854380152
935,471.0,[942.2478439779306 634.5328611860102 1314.5934658852402 992.3474776747539],[1087.2337646484375 910.88232421875 1186.7794189453125 962.23974609375],0.4585838317871094,JAN6506,0.2788574792801132
1127,404.0,[969.3693259297479 379.40074097888794 1284.6941080768956 718.5648580562148],[1098.09765625 663.6693115234375 1174.6422119140625 704.1446533203125],0.46795403957366943,NII6403,0.16299907174776643
1143,404.0,[963.0442856302343 432.25742288327405 1313.484935605708 825.7580085568268],[1108.7327880859375 756.318603515625 1186.1259765625 798.1704711914062],0.5902484655380249,OW)4402,0.05443669294005856
1145,404.0,[962.9978779141476 440.89421918558884 1318.389445752799 840.9465654167464],[1108.0382080078125 763.08544921875 1190.0028076171875 813.8739624023438],0.35826677083969116,TIB4802,0.16586193744398053
1150,404.0,[961.3335695651965 456.74938834516604 1325.8014568279234 871.659408185123],[1113.426513671875 796.3050537109375 1197.176025390625 842.4051513671875],0.6312951445579529,WPI4402,0.14869535158965344
1151,404.0,[961.3035002428963 460.98117316396764 1327.5749486930965 880.2972871322763],[1113.550537109375 804.2356567382812 1201.4720458984375 848.2487182617188],0.572558581829071,NPI4002,0.07285282263835745
1152,404.0,[961.9099690880115 464.67428331929545 1329.6988478449216 886.8384361911712],[1112.476318359375 812.3867797851562 1196.580322265625 854.1124877929688],0.5757389664649963,RDD4002,0.053299693687063464
1153,404.0,[961.6008494400336 468.60331150865426 1332.150834339526 893.3948852071437],[1113.874755859375 817.30078125 1196.6318359375 858.43798828125],0.6026133298873901,MDB4602,0.18611692438030106
1154,404.0,[958.6228376057029 473.5722920398972 1332.4225034006913 902.4792017207809],[1114.9306640625 825.8203125 1198.406982421875 868.0975341796875],0.6304064393043518,WDD4602,0.3904625263543732
1158,404.0,[956.8006067900286 486.54936283009874 1336.9672794839898 925.6622282571636],[1115.5078125 853.4967041015625 1204.213623046875 894.83349609375],0.6323122382164001,APB4402,0.12245614331412397
1160,404.0,[955.5470179642905 495.76647287967825 1339.79515216204 939.1283921994941],[1116.9371337890625 864.7510986328125 1208.52685546875 910.2572021484375],0.6407923698425293,HOD6602,0.116908850901642
1162,404.0,[957.6255892002468 504.3079927547936 1344.6872580706595 953.4807352305093],[1118.853515625 879.1463623046875 1211.009033203125 927.806640625],0.6273242235183716,IPD6002,0.09696890621943886
1164,404.0,[957.3688144826784 512.993010447321 1349.3410855043999 969.0268185104774],[1119.8052978515625 895.892578125 1211.196533203125 941.2686767578125],0.6230612397193909,WDD6602,0.4014880537951192
1165,404.0,[956.8242166620087 517.1750876193478 1350.885851571417 975.4113434848632],[1121.518310546875 905.020751953125 1211.999755859375 951.4354248046875],0.6261663436889648,NDD4802,0.6185230239059556
1166,404.0,[956.5656356146656 521.7558741650356 1353.2646534929358 982.817743611134],[1120.87451171875 909.9702758789062 1212.416259765625 958.6975708007812],0.6598479747772217,WOD4602,0.27633065853422245
1167,404.0,[957.2164281361338 528.5740620915948 1356.8334812919488 993.1773507418778],[1125.36083984375 923.1583251953125 1213.700439453125 965.5472412109375],0.5949842929840088,NOP6602,0.3147166776837675
1168,404.0,[956.214389018078 534.0290319017643 1359.1621980782313 1003.1635421855065],[1121.5076904296875 930.1452026367188 1214.542724609375 976.3873901367188],0.655815064907074,NOD6602,0.17185817613595422
1169,404.0,[956.1893540122142 537.5796377494556 1361.1818179215174 1007.205105597708],[1123.90673828125 933.5308227539062 1218.98486328125 983.1864624023438],0.6595383882522583,NOP6402,0.2821522084048522
1172,404.0,[950.8542614774649 553.5819047687157 1365.9688443190491 1038.30126441271],[1125.0185546875 960.0450439453125 1220.21142578125 1007.9873657226562],0.6463285684585571,NDD6602,0.22637320713096085
