frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
5,1.0,[1780.599842792421 411.41949510486955 2486.3478283236013 1098.143918550002],[2046.60888671875 906.987548828125 2237.36181640625 1018.6436767578125],0.27107641100883484,ILJ5196,0.3121252271591827
6,1.0,[1778.0204601439239 429.51327193331383 2492.7029172060375 1127.6433517647756],[2070.841552734375 942.885498046875 2248.86962890625 1036.2059326171875],0.6551820635795593,ULJ5714,0.09360362985472392
9,1.0,[1776.9863220088264 488.956073150857 2518.130021489419 1213.3459440414872],[2077.987060546875 1036.010986328125 2258.337158203125 1126.009765625],0.636543869972229,WEJ5790,0.4231086686298411
10,1.0,[1774.8001379276182 511.24784010717855 2527.320586751227 1244.6469659729923],[2077.0634765625 1075.0697021484375 2260.907958984375 1163.4404296875],0.6581272482872009,NEJ5750,0.20656618906499727
12,1.0,[1770.9541551270381 563.6662883344395 2549.4280415633443 1332.1372320195937],[2082.071044921875 1142.733642578125 2276.05517578125 1233.310791015625],0.6682082414627075,YEJ5760,0.6416221762757969
13,1.0,[1767.0370142682623 586.5883765193003 2556.710587048211 1367.8287759424268],[2078.614013671875 1179.8770751953125 2279.108642578125 1274.175537109375],0.6988409161567688,MEJ5760,0.29496587567451976
14,1.0,[1763.3469025932163 614.8720114837579 2567.7505783177457 1405.0143329416749],[2081.240966796875 1220.77099609375 2280.30419921875 1308.6815185546875],0.6427962183952332,NEJ5790,0.5432416499531819
15,1.0,[1763.1133790925899 646.3581239991264 2579.5613227778713 1453.770406652393],[2088.7373046875 1256.045166015625 2281.627197265625 1349.21875],0.6795229315757751,NEJ5760,0.27875089770870526
18,1.0,[1746.6895679657698 726.3664153248128 2601.916240033487 1578.2405477538673],[2091.29248046875 1382.813232421875 2300.5322265625 1488.47705078125],0.7639687061309814,NEJ5766,0.45212586175935154
20,1.0,[1749.692545867037 790.3646894079034 2626.0538109114127 1667.9115302264481],[2095.4580078125 1484.6026611328125 2310.51220703125 1587.6947021484375],0.7780796885490417,MEJ5756,0.4654435946386733
22,1.0,[1745.2821458706214 860.5781266023363 2647.9731609747264 1772.1631781371739],[2105.8564453125 1585.326416015625 2316.314453125 1692.276123046875],0.6934080719947815,NEJ5766,0.4837206655643173
23,1.0,[1741.8331427727333 894.7485805536171 2660.2855345597277 1821.4675114665215],[2107.68115234375 1648.105224609375 2321.778076171875 1748.7703857421875],0.7109745144844055,NEJ5766,0.31800423466480215
25,1.0,[1730.8380895881003 974.5775800883098 2683.5284531769466 1940.5155773359934],[2111.09228515625 1762.27880859375 2333.5234375 1876.39453125],0.6991665363311768,NEJ5766,0.519777232402688
391,70.0,[1863.9144342712864 525.3507608485017 2821.5090344423525 1625.795836533455],[2215.1494140625 1457.07763671875 2427.93408203125 1562.9952392578125],0.6969079375267029,WFL0202,0.2252401137078505
394,70.0,[1829.8490244553618 608.402851948306 2828.5222748699166 1743.3815463459327],[2201.30615234375 1609.6072998046875 2424.34521484375 1712.48876953125],0.7268889546394348,NFL0242,0.30026602002701624
395,70.0,[1822.7701583989458 638.5633462008971 2836.1510746701547 1788.170267789985],[2196.080078125 1663.531005859375 2423.055419921875 1777.63720703125],0.7433472871780396,NFL0282,0.5135987043083271
397,70.0,[1803.5327385013193 709.4380433541562 2849.8789410499953 1909.239409167654],[2186.37158203125 1783.6220703125 2420.618408203125 1900.140869140625],0.7281831502914429,NFL9282,0.06831803694253963
642,173.0,[1697.1885473640982 462.98224926544435 2576.9434342981726 1451.4225179835448],[2050.141845703125 1318.038818359375 2247.6474609375 1419.67333984375],0.719743549823761,ILT3239,0.21659735669717234
643,173.0,[1693.3652308876094 485.6211102856242 2587.5073173850055 1492.6688557524146],[2051.985595703125 1359.203857421875 2248.379638671875 1457.631591796875],0.6886586546897888,ALZ3239,0.26851802616868536
