frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1005,70.0,[2474.693787067472 1348.4949180541544 3033.412826197793 1889.161993186358],[2710.27490234375 1752.383544921875 2870.30322265625 1851.702880859375],0.3726847767829895,BIC2133,0.41703685507103166
1006,70.0,[2481.637519913506 1360.8436683607465 3043.5662772338405 1907.5261304498322],[2729.46826171875 1768.4124755859375 2875.798828125 1844.044189453125],0.5295644402503967,MIC2123,0.1835896932065672
1446,589.0,[1888.6492468199328 1326.5250319824054 2509.6312565995368 1910.3809774777792],[2102.30419921875 1824.7159423828125 2249.668212890625 1883.2686767578125],0.3982919454574585,GEJ7137,0.18981920384587303
1447,589.0,[1883.3433308125514 1314.3747848229648 2507.547756202438 1916.0552300472316],[2135.48779296875 1839.9627685546875 2257.64697265625 1896.3321533203125],0.31179651618003845,NEJ7152,0.1261509719072656
1449,589.0,[1884.641585018811 1356.5015421347675 2522.995226455398 1952.4509111592042],[2132.06201171875 1872.098876953125 2257.06103515625 1933.9163818359375],0.4188988506793976,KLJ7112,0.47580746320649914
1453,589.0,[1880.6746803471765 1402.1247667525076 2541.2204920330364 2019.2646488826294],[2147.182373046875 1936.423095703125 2277.4853515625 1991.096923828125],0.34368690848350525,KCJ7117,0.16155213847492614
1456,589.0,[1885.380005941819 1410.0244533016094 2567.996223073237 2077.6618062722937],[2142.79248046875 1989.48681640625 2294.124755859375 2047.588134765625],0.40077707171440125,MCJ7112,0.29826344567922586
1459,589.0,[1885.1442782581041 1462.9700928541683 2584.3989870582996 2143.884350056961],[2121.15576171875 2008.760009765625 2307.681640625 2110.330810546875],0.4190698266029358,KCJ7112,0.38448481434332743
1460,589.0,[1888.2305922925416 1484.654083042005 2585.458269141245 2153.567800887864],[2156.98486328125 2053.5224609375 2304.5517578125 2127.348876953125],0.5897071361541748,NCJ7112,0.29403337854705247
1657,597.0,[2297.3136158565194 1370.7575872918335 2976.4912735944563 2109.139778593279],[2611.061279296875 1945.5673828125 2781.670166015625 2025.596923828125],0.6732369661331177,NFT1103,0.34262181415014176
1658,597.0,[2302.749551587979 1379.3470631836992 2986.8701169430196 2127.596468179355],[2623.220703125 1953.264404296875 2787.46240234375 2041.806884765625],0.6819117069244385,MFT1103,0.3014538417717101
1659,597.0,[2307.597493818534 1380.165210323098 2997.1620079410154 2133.706534738312],[2633.041259765625 1971.0472412109375 2801.14013671875 2054.38818359375],0.6707152724266052,NFT3303,0.15336251405104584
1662,597.0,[2320.217038175173 1387.1174688660242 3024.620194133504 2149.6907193066195],[2652.8955078125 2016.016845703125 2818.80810546875 2100.495849609375],0.6282368302345276,NFT1303,0.3622647598721426
1664,597.0,[2331.0406661226325 1387.6026002370008 3045.961132130763 2154.449203045938],[2666.63916015625 2052.51416015625 2842.599365234375 2138.810302734375],0.6778773069381714,NFT1303,0.39404949331394185
1665,597.0,[2335.2513377437376 1413.4897705724136 3055.2294113774947 2165.1820996132274],[2670.066650390625 2054.14208984375 2849.27197265625 2153.3837890625],0.29972732067108154,NFT1103,0.3635020305179059
1692,672.0,[1699.2445667156317 1090.417875757912 2240.8870919138803 1663.2423169177373],[1898.506591796875 1568.0716552734375 2012.46630859375 1628.9710693359375],0.4036911725997925,GCZ3005,0.05518606471386531
1696,672.0,[1694.8443305391152 1117.439248675035 2247.09804218961 1699.210286755497],[1898.0921630859375 1610.66357421875 2010.0120849609375 1664.431396484375],0.508155107498169,ATZ5006,0.13850813490830996
1712,672.0,[1636.2021302807952 1229.638940594022 2264.5081910422614 1976.4168082516233],[1877.23388671875 1796.20166015625 2007.65185546875 1861.582763671875],0.526926577091217,XCZ5000,0.0472175663039839
1713,672.0,[1632.4988574379333 1236.1658511273977 2264.8001391838084 1983.8325862633455],[1861.8394775390625 1809.31787109375 2016.08642578125 1876.32275390625],0.33401015400886536,XCZ5000,0.08243461825679928
1722,672.0,[1611.7950428989818 1322.518300460453 2273.940897571698 2044.8660339148053],[1854.5789794921875 1934.7235107421875 2006.8590087890625 2007.8331298828125],0.5981197357177734,NCZ5000,0.28506309831561116
1723,672.0,[1606.5524397677077 1332.565622799264 2275.75656954863 2058.0309815673554],[1845.88037109375 1944.854248046875 2015.7227783203125 2027.05712890625],0.607625424861908,NCZ5006,0.1486528095350347
1728,672.0,[1591.9430692813403 1384.6227924098728 2281.938627241076 2141.0309873081237],[1851.3123779296875 2029.8138427734375 2000.3499755859375 2100.9208984375],0.5740079283714294,NCZ5000,0.16489454920136967
2800,1393.0,[2682.0858784146403 1307.300384992441 3430.2369934998796 2113.4080290372963],[3058.226806640625 1944.8287353515625 3227.80517578125 2023.5728759765625],0.6556944251060486,FII6531,0.01931598597161418
2804,1393.0,[2700.3108557486794 1337.90921178369 3472.3843305351957 2158.1122191397876],[3086.0908203125 1986.6826171875 3253.56103515625 2074.656005859375],0.6707085371017456,IAI5531,0.07060468080460096
