frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
21,3.0,[872.7880446512448 159.45589943389436 1148.4043132620961 483.32439107259336],[993.2378540039062 422.4698181152344 1055.086181640625 459.8149108886719],0.5189836621284485,NBV7100,0.10025135241777826
24,3.0,[878.9863583853457 180.48148149394737 1159.713081379855 517.402815687194],[1002.2991943359375 457.7119445800781 1070.3631591796875 497.0849304199219],0.5896769165992737,MAV7110,0.11081010168457915
36,6.0,[891.8309688992601 274.6595987249149 1224.5448875847485 690.4435002130704],[1040.128662109375 623.7599487304688 1116.142333984375 667.502685546875],0.5932086706161499,MDV7190,0.41203446234387825
37,6.0,[892.9474184756428 287.29328887917575 1231.3385101456918 708.7364207249449],[1040.710205078125 641.7783203125 1122.6787109375 690.0887451171875],0.640657901763916,NPV7120,0.4875715925663263
39,6.0,[895.9541423026326 308.0456708969191 1244.4904564136 744.2966000238594],[1049.40380859375 678.3135375976562 1135.831298828125 724.6150512695312],0.6440168619155884,NDY7390,0.11979721805641559
40,6.0,[898.9647850760065 318.3241500098463 1252.1745390101273 763.8660157423012],[1051.65673828125 700.5753173828125 1137.9466552734375 743.139892578125],0.6377080678939819,NQK7390,0.07451582011928772
41,6.0,[903.1496185612766 328.27966530923095 1264.0938734947515 784.8340125912164],[1060.5306396484375 719.3871459960938 1147.43798828125 764.3939208984375],0.6572003960609436,NOV7190,0.312043034963609
42,6.0,[906.8552758825472 338.3872526361057 1273.385665425979 804.0290421751171],[1061.885498046875 742.03173828125 1151.560791015625 788.8387451171875],0.6712896227836609,NDV7190,0.17757727523453312
43,6.0,[907.9885988020892 349.6552840250895 1280.8390870524609 826.518172185376],[1070.39599609375 762.9596557617188 1160.69873046875 811.4104614257812],0.6364744901657104,MPV7190,0.25244032841303454
44,6.0,[908.1534506084786 361.5010101107272 1287.5521941525099 848.9093675346456],[1074.770263671875 786.9204711914062 1165.547119140625 835.9235229492188],0.6697056293487549,MAM7190,0.0905297996380199
46,6.0,[912.2099857214873 393.1557079107938 1301.0696255950986 899.0140795509185],[1084.153076171875 835.770263671875 1176.953125 883.79443359375],0.6680798530578613,NPV7190,0.18155169420011716
47,6.0,[915.2800248545027 406.01963789137255 1309.4878808208287 922.4642067293902],[1088.4541015625 859.8803100585938 1186.032470703125 907.6942749023438],0.676154613494873,MPW7190,0.5116657816106203
48,6.0,[918.332137871645 419.97911510911564 1318.8706834522868 948.0946117421895],[1094.0203857421875 884.7744140625 1195.5054931640625 934.8416748046875],0.7014978528022766,NDV7190,0.25085685004551955
49,6.0,[921.1848518256611 433.5014426886653 1327.9879436841138 974.7663803483929],[1099.7581787109375 911.8496704101562 1201.7420654296875 963.2962646484375],0.6855918765068054,NDW7190,0.5374536827331399
50,6.0,[924.0342884261263 447.5527676134313 1338.0973862607489 1002.0075916456788],[1102.03662109375 941.4815673828125 1210.9102783203125 993.006103515625],0.676922619342804,NON7190,0.15968859307283337
813,82.0,[501.4886793869517 367.5770595967738 872.1753841703678 783.6075319584072],[622.365966796875 722.0706787109375 716.7718505859375 771.04443359375],0.679828941822052,QUO6010,0.11181472376695441
815,82.0,[485.3539302918264 396.3142087354347 869.2413207570178 830.857019417891],[611.6026611328125 767.3340454101562 707.903076171875 818.5925903320312],0.6648064255714417,MVO5011,0.07724015890172943
822,82.0,[424.21876408811625 509.5454453717032 860.7739089196656 1039.953215787584],[559.7822265625 980.0341796875 672.84912109375 1039.0885009765625],0.6740437746047974,QUO5011,0.09207187637430653
1323,216.0,[1017.6142982190278 156.86592157631432 1362.3618048272901 578.3381793450135],[1156.96142578125 505.8602600097656 1248.0230712890625 563.626953125],0.4191760718822479,NGY3818,0.04124035668127891
1327,216.0,[1025.687466808422 221.34217970135023 1391.2689333594058 672.6945836874437],[1184.948486328125 609.5333251953125 1277.322265625 661.5604248046875],0.635826587677002,NEY3010,0.10341061087964236
1328,216.0,[1028.3211196074992 238.64465070773952 1400.090184475788 698.7715332917959],[1193.3551025390625 641.1458740234375 1286.2452392578125 693.257568359375],0.6714543700218201,NGY3410,0.19913346748019514
1331,216.0,[1038.289980040461 294.5704079058047 1434.1232059340389 790.8759464140188],[1216.3533935546875 734.4481201171875 1313.760986328125 788.1557006835938],0.6956214308738708,NCV3418,0.07725976572160824
1778,319.0,[998.7380851824123 477.4775552824646 1432.181403308272 1003.8213541116077],[1191.799560546875 947.6220703125 1302.97607421875 1000.9552001953125],0.7036059498786926,GPG7587,0.00752206822136579
2477,478.0,[370.10504769627346 299.2518573640773 831.3811138758942 875.1246984199172],[511.3660583496094 777.069580078125 615.565673828125 825.583740234375],0.6517988443374634,PBG4975,0.12398583836490634
2480,478.0,[348.6803004816229 323.11089858147835 825.6517184440747 929.3453141589566],[492.82708740234375 829.1200561523438 603.2498779296875 884.3538208007812],0.6833707690238953,POG6975,0.08362319431009603
2488,478.0,[279.1313116984901 398.5423032484512 808.8150846536204 1076.3317203667325],[439.15484619140625 1005.2199096679688 560.4970092773438 1062.676513671875],0.6902720928192139,PBG6975,0.2190505062749518
2528,484.0,[1066.528821371509 343.69125540558 1563.8761645455065 975.2451123527871],[1292.61962890625 885.1825561523438 1406.64501953125 940.9978637695312],0.6595219969749451,IO29111,0.21590464738048565
2545,486.0,[335.0566759059044 359.38411088476306 773.610970771818 943.6433501097263],[480.27374267578125 869.7000732421875 586.034912109375 922.49560546875],0.6647622585296631,JDN5705,0.06340278469533835
2546,486.0,[328.0060518978919 372.31104368508096 772.3816210974974 966.6305876006973],[474.1960144042969 895.0123291015625 581.5709228515625 947.1781005859375],0.6714251041412354,NON5705,0.1804124379729955
2547,486.0,[320.36554241107535 384.4867096859655 771.1945820459893 990.0561207534115],[466.4900207519531 917.9539794921875 577.60791015625 967.2470703125],0.6349196434020996,RDM6705,0.2352884976088785
3086,597.0,[633.0883659620436 381.10165666133753 1049.1897627341593 883.316019959027],[801.685791015625 800.7626953125 905.663330078125 851.9293212890625],0.6334022879600525,NDV6096,0.10555197849730864
3091,597.0,[618.10172663874 448.5355474642208 1067.175924975781 1006.3040098255169],[800.0308227539062 918.863525390625 913.6417236328125 975.91845703125],0.6440207362174988,NDV6896,0.5455346366366465
