frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1008,70.0,[2492.9870407631925 1381.4577440884996 3063.987694687272 1938.3142699016475],[2752.1767578125 1806.2977294921875 2887.82421875 1881.6112060546875],0.4804561734199524,PPL6222,0.31652597778311375
1018,70.0,[2543.939471534334 1497.89483299479 3173.808625741258 2122.0931715583074],[2832.964599609375 1968.873779296875 2983.26904296875 2072.71630859375],0.5203487873077393,JUC2228,0.46881411153733776
1449,589.0,[1884.641585018811 1356.5015421347675 2522.995226455398 1952.4509111592042],[2132.06201171875 1872.098876953125 2257.06103515625 1933.9163818359375],0.4188988506793976,NGJ7232,0.3389951738629163
1455,589.0,[1878.4073503704276 1407.720582669344 2547.91458938323 2057.670332745509],[2112.12841796875 1961.044189453125 2301.70654296875 2037.538330078125],0.5488924384117126,WCJ7112,0.5371728162027934
2597,1063.0,[2488.1890857787594 987.7386147578356 2988.1895737291616 1451.6742215274573],[2701.17236328125 1313.0023193359375 2824.4482421875 1370.0975341796875],0.4926169216632843,JOA9058,0.030305628034932183
2679,1063.0,[2758.387664304336 1454.8471551396751 3518.173460735253 2156.6343571066027],[3124.866943359375 2027.884033203125 3306.755126953125 2118.048583984375],0.6221636533737183,NEI5230,0.14703241120512914
3028,1677.0,[1297.0050024175252 1353.1980058022737 1875.9025016980077 1941.7819722096338],[1514.18115234375 1749.17236328125 1653.8675537109375 1814.931396484375],0.42966386675834656,YCW9583,0.3517884743540539
3029,1677.0,[1299.0395562306526 1349.9558183052438 1878.359572390104 1951.5691097592423],[1508.5250244140625 1743.58984375 1671.557373046875 1823.14111328125],0.39594215154647827,RNG0980,0.043870678958489895
3030,1677.0,[1300.777091356937 1347.8992620823406 1879.2881600387877 1955.9884405849157],[1509.70849609375 1772.9468994140625 1675.415283203125 1840.1715087890625],0.2992827594280243,NC@7563,0.27601837642753496
3886,1985.0,[1102.8504238395396 1309.033171538366 1816.3378702853286 2086.9915008732464],[1361.0792236328125 1917.9832763671875 1504.8551025390625 1994.7901611328125],0.5708792805671692,CCO5082,0.15763172366468078
3982,1895.0,[1814.7716834969522 965.0249140414164 2228.2879096142115 1362.637327428641],[1984.322021484375 1272.7554931640625 2070.49072265625 1321.95263671875],0.4649369418621063,ATL1358,0.030980702625598038
4209,2123.0,[2431.144364247762 1091.1716556028866 2976.4061621176875 1590.409387673819],[2680.35302734375 1457.305419921875 2829.2685546875 1533.0274658203125],0.5153110027313232,DLW8884,0.030762041941115818
4506,2086.0,[1456.7608784156357 1381.7864532222097 2165.4306753530564 2143.3593198026583],[1720.1304931640625 1972.80126953125 1887.6734619140625 2058.02392578125],0.6500653624534607,MIW6273,0.4081952168826407
5118,2554.0,[1970.7865139945843 918.2309452181578 2458.317474743053 1441.6068689502856],[2175.6796875 1302.3739013671875 2266.3623046875 1354.5025634765625],0.3218820095062256,YLO2285,0.014995489163691499
5158,2554.0,[1967.458202328003 1083.9129508858643 2534.6470007564417 1729.7363666601484],[2190.72314453125 1566.193603515625 2319.294921875 1636.61767578125],0.5410832166671753,IAX2205,0.09120993056256611
5182,2554.0,[1960.704574599442 1233.2166372851575 2607.034508766468 1936.143075668204],[2210.4638671875 1770.4097900390625 2368.603271484375 1866.9935302734375],0.29723143577575684,AEX2785,0.13295553729941487
5194,2554.0,[1957.4524375880558 1285.7339418372892 2627.8303030684124 2059.9198366550727],[2224.10693359375 1898.6217041015625 2391.2802734375 1989.158935546875],0.6517881155014038,NEX2785,0.19936812654721853
5196,2554.0,[1960.877265036158 1279.2128758074641 2632.744986492091 2068.9593850441047],[2229.279541015625 1920.97119140625 2395.195556640625 2007.9638671875],0.6492737531661987,MAK2785,0.20125476666436243
5309,2537.0,[1272.2410625286182 938.9191119848504 1790.824715274295 1477.5130465841141],[1438.431640625 1338.68505859375 1565.416015625 1405.3880615234375],0.4741974472999573,JUR5582,0.05596541071742097
5317,2537.0,[1245.724911095265 984.4317055888935 1780.1451843886346 1548.4992350157197],[1426.691162109375 1409.4306640625 1540.734375 1469.911376953125],0.5182786583900452,RAS5038,0.15996866142275903
5340,2537.0,[1131.599129405485 1133.8966664597567 1750.1817537813793 1775.8253783701582],[1343.2938232421875 1634.219482421875 1471.77587890625 1705.679931640625],0.5043734312057495,KXJ5827,0.11921872987585332
5364,2537.0,[991.2311174715117 1339.7849121078816 1703.5543934307932 2103.7210283299933],[1220.783935546875 1948.461181640625 1380.7247314453125 2034.624755859375],0.5598678588867188,IOW3562,0.23734860943759517
5366,2537.0,[973.979970931601 1359.1331353239325 1699.3925049405937 2136.2017118026497],[1214.0159912109375 1987.927490234375 1375.5970458984375 2069.462890625],0.6111332178115845,BRI5627,0.09572311683374536
5410,2557.0,[1635.241449342309 1019.3411908166704 2135.0215128998357 1459.4204561872752],[1813.0264892578125 1351.4285888671875 1910.6158447265625 1403.4957275390625],0.42222586274147034,TUL3728,0.03959219876388414
5449,2557.0,[1487.3320908495884 1285.0397975839207 2110.1957953700703 1849.335978322181],[1709.5535888671875 1726.5091552734375 1826.4180908203125 1789.7841796875],0.3318306505680084,RDG3238,0.13232265652038366
5465,2557.0,[1402.6240538894895 1423.1273185165776 2093.6501549870213 2036.7073857227494],[1649.38330078125 1930.2425537109375 1784.1280517578125 1995.2303466796875],0.48662978410720825,NBG3239,0.346937453132877
5477,2557.0,[1327.1156825707503 1536.683186884696 2080.7014612701932 2160.2642521092685],[1578.31494140625 2087.63232421875 1740.4910888671875 2160.0],0.3363420069217682,NBG3239,0.5099238000588859
