                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3573,                 1.2267,                 1.3372,                0.94291,                0.87225,                 0.9362,                0.54964,                 1.4803,                0.80448,                 1.3689,             0.00066657,             0.00066657,             0.00066657
                      1,                 1.3361,                0.86922,                 1.3401,                0.95131,                 0.9011,                0.94668,                0.58634,                 1.3946,                0.70391,                 1.3319,              0.0012507,              0.0012507,              0.0012507
                      2,                 1.3112,                0.83047,                  1.326,                0.94902,                0.91152,                0.95581,                0.59074,                 1.3952,                0.66468,                  1.307,              0.0017524,              0.0017524,              0.0017524
                      3,                 1.2827,                0.77239,                 1.3092,                0.95445,                0.91455,                0.95377,                0.57011,                 1.4757,                0.64245,                 1.3511,              0.0016287,              0.0016287,              0.0016287
                      4,                  1.257,                 0.7293,                 1.2953,                0.95028,                0.92667,                0.95745,                0.58953,                 1.4015,                0.60803,                 1.3112,              0.0016287,              0.0016287,              0.0016287
                      5,                 1.2383,                0.70715,                 1.2772,                0.96854,                0.93108,                0.96488,                0.61404,                  1.334,                0.56574,                 1.2699,               0.001505,               0.001505,               0.001505
                      6,                 1.1827,                0.57323,                  1.283,                0.96784,                0.93913,                0.97145,                0.63781,                 1.2577,                0.54365,                 1.2255,              0.0013813,              0.0013813,              0.0013813
                      7,                 1.1674,                0.54668,                 1.2696,                0.97553,                0.94239,                0.97378,                0.63648,                 1.2725,                0.52333,                 1.2344,              0.0012575,              0.0012575,              0.0012575
                      8,                 1.1479,                 0.5293,                 1.2568,                 0.9731,                0.93794,                0.97083,                 0.6326,                 1.2598,                0.53052,                 1.2238,              0.0011337,              0.0011337,              0.0011337
                      9,                 1.1315,                0.51193,                 1.2428,                0.97749,                0.93822,                0.97399,                0.66227,                 1.1947,                0.49422,                 1.1956,                0.00101,                0.00101,                0.00101
                     10,                 1.1186,                0.49547,                  1.234,                0.97463,                0.94431,                0.97489,                0.67059,                 1.1896,                0.49062,                 1.1874,             0.00088625,             0.00088625,             0.00088625
                     11,                 1.0972,                0.47844,                 1.2223,                0.97596,                0.93903,                0.97296,                0.67036,                 1.1806,                0.47858,                 1.1823,              0.0007625,              0.0007625,              0.0007625
                     12,                 1.0839,                0.46735,                 1.2091,                0.97807,                0.94143,                0.97619,                0.67511,                 1.1709,                0.46585,                 1.1746,             0.00063875,             0.00063875,             0.00063875
                     13,                 1.0667,                0.45091,                 1.1966,                0.98097,                0.94032,                 0.9765,                0.67935,                 1.1626,                0.45282,                 1.1721,               0.000515,               0.000515,               0.000515
                     14,                 1.0549,                0.43491,                 1.1877,                0.97353,                0.94863,                0.97589,                0.68474,                 1.1495,                0.45144,                 1.1662,             0.00039125,             0.00039125,             0.00039125
                     15,                  1.042,                0.42636,                 1.1781,                0.96865,                0.94944,                0.97751,                0.68444,                 1.1541,                0.45087,                 1.1686,              0.0002675,              0.0002675,              0.0002675
