frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
606,171.0,[1021.682136552613 514.1480078436141 1415.9572551822962 894.1942823523973],[1183.482421875 830.808837890625 1280.182373046875 876.9466552734375],0.6512840390205383,NCF5175,0.5055753777695295
715,226.0,[628.2366849262571 219.98681931308715 938.9310986841826 522.6743524389037],[732.259521484375 461.6157531738281 796.398193359375 491.8140563964844],0.4283716380596161,OWP7904,0.09777928074277474
761,226.0,[373.81250664808636 550.9865735612608 847.8798441636941 1075.771962242041],[522.5538330078125 1002.7871704101562 628.0916137695312 1055.58056640625],0.6855369806289673,ABB1866,0.14006187538020778
986,278.0,[632.8894933450673 276.92031505474495 952.3649907731007 622.454106187127],[745.2295532226562 507.9842834472656 821.6793823242188 563.95263671875],0.3965895473957062,GGJ4671,0.0266361304406887
1005,278.0,[586.8835566904911 365.5777192885581 953.4350240836379 773.8121044155938],[710.4900512695312 655.48681640625 793.2694091796875 697.6007080078125],0.6498009562492371,IXC6282,0.3476714322435151
1026,278.0,[502.93144459306893 494.10972216336427 941.6012644798319 986.405767357594],[652.9620361328125 857.8478393554688 752.8968505859375 905.3186645507812],0.6456372141838074,XDF2682,0.2519350817633772
1039,278.0,[430.4426764665178 582.6387054947585 925.9794047401334 1084.5689464646032],[594.6136474609375 1035.3775634765625 703.3023681640625 1080.0],0.6778102517127991,CF26621,0.3896470781475665
1107,363.0,[910.9058951843915 408.6465003920801 1256.7046284130722 788.1777832515318],[1040.240234375 711.2070922851562 1122.5299072265625 750.935791015625],0.2692145109176636,DOL8514,0.03689803033773924
1110,363.0,[904.51299003554 429.3555026112041 1262.5294226099268 818.2796404808445],[1039.55029296875 745.8985595703125 1125.85302734375 780.849365234375],0.51536625623703,DLL8508,0.06350897885096612
1119,363.0,[880.8008530930404 503.86732058340465 1269.607648575852 934.0792298500268],[1021.078125 859.4657592773438 1117.377685546875 900.7750854492188],0.6306758522987366,ILL8305,0.25099044471643706
1353,453.0,[875.3321684495402 597.1535889922354 1327.1354620907794 1076.4521528562268],[1050.288818359375 999.3570556640625 1157.699462890625 1048.4095458984375],0.6856806874275208,NGA3900,0.16118833070718053
1418,457.0,[940.419229716368 421.3304993363205 1260.9091264769436 720.6689083877258],[1060.4342041015625 656.473876953125 1136.45703125 694.16357421875],0.5642785429954529,SI27135,0.09225694720675907
1480,496.0,[511.37012494020223 457.11220703206664 872.6613982378399 866.8389553834993],[633.4810180664062 788.7811889648438 721.3833618164062 833.6453247070312],0.5682775378227234,GAZ5258,0.08066844470989934
1490,496.0,[471.4203647033637 511.4367692944315 858.3349870678464 950.7975469442408],[598.2357177734375 869.82421875 691.908935546875 917.5783081054688],0.6452819108963013,FHZ5328,0.06693789187297412
1504,496.0,[403.0832476240423 593.9469140639727 834.2908471219946 1075.7815699135072],[541.90966796875 1009.2608642578125 643.6981201171875 1060.98388671875],0.6620782613754272,FAZ4258,0.24198290002723682
1536,614.0,[503.64383717194846 376.41024155837727 877.5796690052098 780.8415815804362],[602.8473510742188 667.8192138671875 721.309326171875 718.150146484375],0.32964780926704407,GCI1032,0.13292228181768873
1537,614.0,[499.5805275455746 380.37532947845267 875.6733596375054 787.5279232823113],[633.1619873046875 673.1072387695312 711.9505615234375 715.4556884765625],0.594832718372345,REC0832,0.15051525405882418
1540,614.0,[488.3752188423005 392.4425196182759 870.5276821149173 808.7153591867149],[619.8685302734375 698.787109375 700.2237548828125 735.19580078125],0.598778247833252,ECZ1032,0.20993436622884334
1542,614.0,[482.5109872176837 402.7198529868421 867.3135046897438 826.0533991132154],[613.2991943359375 708.3687744140625 691.4530029296875 749.4343872070312],0.573625922203064,EER1032,0.13622733099071793
1547,614.0,[458.45612322000795 429.2213143744602 859.6462058277781 865.9674020402056],[601.4111328125 752.0535278320312 684.874267578125 794.8057250976562],0.5298240780830383,RGF1033,0.1638249192970632
1548,614.0,[451.96665213210076 434.3179081382475 858.2798432008699 875.5992364629581],[588.02099609375 756.9725341796875 676.9403076171875 812.346435546875],0.34495246410369873,IGF1822,0.049561385171238766
1578,587.0,[967.6264461014121 381.5064194258898 1354.2318251872907 814.5929322046736],[1115.3720703125 738.8981323242188 1225.5125732421875 783.2623901367188],0.6428234577178955,GBQ2880,0.0830837834056984
1598,587.0,[970.6333414299929 541.4614371972848 1445.5407759354312 1076.3287581309671],[1150.2059326171875 1017.5030517578125 1289.237548828125 1074.525634765625],0.6959348917007446,NAA2360,0.09434713981810967
