frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
3,1.0,[965.7718201472273 487.35122902460523 1568.7041761540565 834.3238822609725],[1049.7015380859375 700.3255004882812 1132.2421875 752.674072265625],0.4814011752605438,SLJ9152,0.057163842137269605
116,61.0,[1767.723964151187 555.443890597581 1916.6045480855141 744.5404118642521],[1849.8900146484375 670.9461669921875 1915.5531005859375 703.3446044921875],0.27889445424079895,MFC5882,0.08901941408783498
122,61.0,[1758.2890557997766 555.6333292883266 1918.2529439133805 747.722769429121],[1838.2115478515625 669.954833984375 1900.1400146484375 702.433837890625],0.33123400807380676,IUD9850,0.3549024768519027
132,61.0,[1736.4769666757593 551.0919339085663 1917.795639727518 756.1106439063567],[1812.446044921875 670.965576171875 1881.577880859375 703.333984375],0.4138088524341583,IEQ5850,0.08263910841746874
135,61.0,[1727.0971418290367 549.4932288517749 1917.414280917855 759.2742199146961],[1802.526123046875 664.791259765625 1882.3681640625 716.9632568359375],0.3337353765964508,WFE5053,0.4989032062227565
142,61.0,[1703.3910056013533 545.5346450265397 1917.2839736214296 767.4640693496624],[1778.231201171875 670.2933349609375 1850.86474609375 718.177001953125],0.3358520269393921,TEE5850,0.23476133410633176
145,61.0,[1690.2652344939509 541.2195673589335 1915.9959545979161 768.7864372502556],[1771.3623046875 666.2127685546875 1848.136962890625 717.1365966796875],0.27743205428123474,KFE5392,0.09546058331890761
149,61.0,[1675.060505171546 538.2223253088472 1916.4079093111654 769.9604360013349],[1758.723388671875 679.71630859375 1831.42041015625 710.7327270507812],0.48458346724510193,MFE5690,0.1983063680959083
150,61.0,[1670.892936403984 536.9165873123218 1916.5037765347138 770.1776157564361],[1755.8118896484375 679.729736328125 1826.7286376953125 710.68310546875],0.4328337013721466,IFI3858,0.09847503553986317
163,61.0,[1607.269987890822 520.3162647102469 1915.1363119654684 782.0105509103377],[1700.07275390625 683.043212890625 1786.550537109375 724.022705078125],0.6143314242362976,IFE5858,0.542001734868542
165,61.0,[1595.3038407738127 520.4527476335766 1914.6497803321286 783.0831044905528],[1689.850341796875 684.9091186523438 1772.57666015625 725.7708740234375],0.6314235925674438,IFZ5658,0.4093705203275968
169,61.0,[1571.427493255695 518.8258340944101 1914.5459221038827 788.8698028778329],[1665.0703125 686.2191772460938 1753.57763671875 727.2353515625],0.600934624671936,IFE5058,0.40187545948111353
