frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
413,42.0,[1976.1140002663842 879.8892819948874 2884.342040848821 1798.2023271398702],[2356.4609375 1643.7952880859375 2571.3212890625 1741.7940673828125],0.6382169723510742,JNC0385,0.19896686007033454
619,136.0,[1512.9780197909145 616.8634249849656 2444.380969294861 1706.9048385365072],[1851.30419921875 1471.8731689453125 2078.435791015625 1569.9158935546875],0.748560905456543,NDV3270,0.35209586889195377
621,136.0,[1505.1348816901118 664.9993142367177 2454.6062581431356 1803.9200659970895],[1846.515625 1552.857421875 2079.892333984375 1657.27001953125],0.7290893793106079,VOR1278,0.27401600626648226
622,136.0,[1495.934577734156 676.665345332799 2458.1829345776664 1823.251629096485],[1848.9765625 1592.8436279296875 2075.082763671875 1700.3140869140625],0.6931079626083374,VDV1278,0.33655236677301487
624,136.0,[1484.5590676215838 723.4488905081519 2470.90830967961 1902.4456221601674],[1840.224609375 1674.3555908203125 2078.490234375 1790.1185302734375],0.7095268964767456,HOR1228,0.15813084111166453
1023,286.0,[1766.1573276138329 629.9727975074776 2887.063032326552 1979.3076290521126],[2219.3896484375 1822.764404296875 2474.885009765625 1930.484619140625],0.6308392882347107,SGJ8963,0.06485533855445899
1028,286.0,[1752.5355189092274 720.0151839521569 2941.075637733166 2151.544386804833],[2229.09619140625 2033.140869140625 2500.73486328125 2147.8359375],0.6404728889465332,NCT8983,0.1585695575157924
1047,304.0,[1141.6299866551253 278.62850088754897 1870.4687481919145 1063.3456995749125],[1387.55859375 883.3595581054688 1561.899169921875 969.3272094726562],0.6144275069236755,IOE5130,0.23381428241626506
1055,304.0,[1082.9404020513593 367.9569858212739 1857.3175316773013 1203.8987731431373],[1339.849365234375 1025.33544921875 1523.5234375 1117.9794921875],0.6338835954666138,PSI3021,0.23159836970298178
1065,304.0,[985.8296674328241 502.12939321989035 1829.5860510286589 1413.8054354113606],[1273.2001953125 1234.8734130859375 1467.761962890625 1331.4893798828125],0.692400336265564,OAS1382,0.39929083656903946
1090,304.0,[681.4637071978733 940.269600498236 1755.0779487627206 2150.145206169988],[1025.55859375 1982.10205078125 1278.259521484375 2109.3359375],0.6821977496147156,DAS1382,0.34162800609581245
1091,304.0,[665.2111807436605 955.43278263802 1749.360315920254 2161.4135231167224],[1016.4686279296875 2031.1875 1274.0950927734375 2148.279052734375],0.7020782828330994,DAS1382,0.582617780404239
1177,325.0,[453.9715272868941 721.9650381162031 1484.6497306758117 1939.6612356661772],[786.1929931640625 1645.37841796875 1010.3690185546875 1753.566650390625],0.6929638981819153,ZHR1533,0.16061700135276946
1273,364.0,[1013.1581183772139 236.22848032448894 1780.6973575358177 1070.929539379852],[1278.66259765625 869.5947875976562 1457.68017578125 985.9110717773438],0.36888426542282104,TWE0992,0.13945070680569266
1347,377.0,[223.4303513731944 504.4483724542201 1109.0881758130954 1442.5387233523966],[496.5779113769531 1257.9205322265625 700.9805908203125 1370.8433837890625],0.6566681265830994,UB;2330,0.24324387604663705
1363,377.0,[-18.085482518701838 863.661939799838 999.7973233334662 2016.5571915219575],[200.28488159179688 1859.6259765625 441.6283264160156 1984.0556640625],0.6774675846099854,JUA3318,0.13321103422935865
1413,380.0,[1174.92783789914 723.7736223648286 2064.4047868700895 1586.418480915513],[1467.651611328125 1428.1556396484375 1681.795654296875 1527.131103515625],0.6996852159500122,TO*2357,0.7030342634481139
1872,542.0,[1082.4957068076747 7.5186597837732165 1940.1264516368296 1028.9826706545302],[1382.0361328125 854.066162109375 1563.1796875 946.69189453125],0.4757126271724701,SGA6328,0.27081790880917267
1881,544.0,[998.4172203615267 76.81417294550306 1910.9779990994816 1258.024425759441],[1324.879150390625 1049.4208984375 1490.101806640625 1162.4927978515625],0.4164934456348419,NGR9325,0.32252485221199706
2005,562.0,[1434.9036883037134 442.5928711071713 2200.10956818431 1245.5177866275333],[1700.391357421875 1050.7913818359375 1895.478515625 1148.1361083984375],0.6689956188201904,GDZ0223,0.23734258594726246
2006,562.0,[1422.2075497129438 457.60491979767653 2196.3987076883104 1264.8417039231713],[1689.1732177734375 1086.109619140625 1870.4571533203125 1184.514892578125],0.638716459274292,AAZ1243,0.35911633814406074
2030,562.0,[1151.6115277517654 919.5633219039887 2137.0369099962127 2002.0985928131954],[1473.9766845703125 1806.384521484375 1703.50341796875 1923.595458984375],0.7103842496871948,OAZ1263,0.2965864090310361
2036,562.0,[1054.1018423467308 1036.373937840392 2108.3728399931106 2169.387618150726],[1394.42138671875 2057.666748046875 1644.567626953125 2160.0],0.7200300097465515,AAZ1263,0.2652451821832325
2184,597.0,[490.4587993647037 772.1466646544986 1511.5304451006773 1979.6168469741124],[787.9735107421875 1796.994140625 1076.8941650390625 1919.93701171875],0.6991332769393921,GJI4152,0.5737297591802406
2185,597.0,[468.93788645242375 790.4316104384827 1503.801679025757 2006.0170118111512],[768.6260986328125 1831.1011962890625 1068.2042236328125 1960.5054931640625],0.6918299198150635,EJI1152,0.13135158807972705
2187,597.0,[432.3836328303079 859.4011001560309 1491.1154010225719 2111.386124142843],[734.1249389648438 1914.060791015625 1046.8912353515625 2045.68798828125],0.6988629698753357,GJI1452,0.12707541997826743
2270,638.0,[2012.725028638782 709.5119569187398 3111.896079467951 2002.6650339741152],[2404.11083984375 1844.299072265625 2635.3583984375 1976.02587890625],0.6832762956619263,ACF8226,0.21210698472877146
2355,654.0,[1172.1783810537966 318.82573435897694 1887.6282483243756 1037.6234011727045],[1358.273681640625 842.7193603515625 1577.46337890625 934.0787353515625],0.6922585368156433,AKO9650,0.1243253749816269
2369,654.0,[981.161375806189 550.8916129216063 1796.7080206223632 1376.3563729839943],[1195.4981689453125 1160.95849609375 1431.3870849609375 1275.82373046875],0.7165564894676208,RJJ4650,0.09156180041441736
2379,654.0,[818.7375313625203 752.8796558807484 1718.1669465059204 1660.3625620208272],[1050.9686279296875 1462.084228515625 1315.6578369140625 1575.6689453125],0.7296023964881897,IJI6502,0.33766194461746846
2380,654.0,[801.7118883028533 773.8250299483486 1709.72715858233 1689.9980373630717],[1040.2188720703125 1492.37841796875 1305.7708740234375 1609.1455078125],0.7073583006858826,WLJ1690,0.3599406474868841
2386,654.0,[694.2344824652795 906.1992476946602 1665.5476885109824 1881.3833366481385],[943.8151245117188 1701.3563232421875 1225.2646484375 1819.4718017578125],0.7378132343292236,LJI6502,0.4054425629230223
2387,654.0,[676.618366405866 932.3730011950381 1658.466910290868 1919.2392949492107],[925.3587646484375 1738.4718017578125 1210.70849609375 1860.0164794921875],0.7275744676589966,NIJ1650,0.3039291274379809
2391,654.0,[597.378992559235 1042.3992391907937 1622.5710438165675 2088.171168830855],[855.6403198242188 1894.553466796875 1146.177734375 2018.73779296875],0.7756083011627197,JJI6501,0.21033111059934415
2438,661.0,[1016.8215621117761 636.9932519245162 1828.85906753584 1439.9960891180335],[1260.9332275390625 1275.072265625 1456.993896484375 1376.13671875],0.6131657361984253,ULV9531,0.5745578180308337
2479,658.0,[302.9809443317969 512.6843599172948 1139.479102275464 1318.0040702879605],[555.5462036132812 1122.822509765625 767.7171630859375 1223.0833740234375],0.6476675271987915,NEV5095,0.2685657595476068
2482,658.0,[285.4947940873391 543.9994969536174 1134.4565213450783 1361.9842262584903],[536.915283203125 1168.9798583984375 750.872802734375 1264.068115234375],0.6253002285957336,NEV5090,0.1903999216207813
2484,658.0,[268.87968719433786 562.4870098202717 1126.810125730592 1387.4761337374052],[524.8282470703125 1200.423828125 745.271484375 1296.677978515625],0.5973532795906067,IEV5600,0.14127943332116225
2491,666.0,[1357.6348229851988 213.95082169400456 2130.903026304038 1090.775039146199],[1643.747314453125 888.2225341796875 1835.159912109375 974.831787109375],0.6150943040847778,SZG5828,0.08850032462040525
2494,666.0,[1346.646024087721 254.05125552095603 2139.4346887911947 1167.2763554371222],[1642.46044921875 946.0995483398438 1836.6632080078125 1036.4365234375],0.6727093458175659,CIY5825,0.10768091816273487
2499,666.0,[1324.3891272936326 323.18725479403423 2145.093920055302 1270.6914646681657],[1624.8702392578125 1050.43359375 1817.84033203125 1134.047607421875],0.643578290939331,INE6512,0.0661118923711509
2522,666.0,[1174.389102794874 663.4949349479543 2187.9308254258926 1875.306053860419],[1533.515380859375 1659.7606201171875 1765.4776611328125 1767.9451904296875],0.6640452742576599,ICU5125,0.2913593580204413
2523,658.0,[-13.28956071503336 1065.4252425069044 929.015384663915 2161.6837756455952],[49.66687774658203 1994.694580078125 340.71978759765625 2125.465576171875],0.6193368434906006,JEV5090,0.35051138688237266
2532,666.0,[1077.8235112520438 829.7909835009372 2202.7600628775485 2166.412983292599],[1474.7545166015625 2011.7237548828125 1731.9605712890625 2123.75341796875],0.6609039306640625,ICU5126,0.8054217838454806
2678,745.0,[1140.4800801244803 264.111613321769 1795.0871262908784 904.2846483994849],[1369.49072265625 743.861083984375 1523.556396484375 825.063232421875],0.5738481879234314,TAG0587,0.5064328450477326
2709,745.0,[968.4218381926097 596.7000290822102 1756.592346449353 1385.5048628811553],[1224.107177734375 1204.060791015625 1407.1513671875 1300.2772216796875],0.6789259314537048,BAD3286,0.7286748265576346
2714,745.0,[928.7187716240892 658.6448704033326 1743.9916812673137 1471.9896200570986],[1190.9361572265625 1295.021240234375 1383.31005859375 1395.5341796875],0.7093884944915771,AGD3286,0.15806618103732023
2731,745.0,[767.3829642712351 906.3866910152126 1691.6748490697257 1853.2788789812855],[1061.1505126953125 1675.4168701171875 1276.7357177734375 1781.0203857421875],0.7047803997993469,GAD3680,0.105364558989442
2734,751.0,[1265.5130417295347 328.48453481589036 1947.0910807072885 1026.233128473525],[1480.184814453125 816.1459350585938 1663.583251953125 906.3070678710938],0.5734025835990906,SSC0522,0.22339035040790328
2737,751.0,[1249.0295595294344 361.2593417829867 1945.443839170384 1050.8219169102804],[1468.0037841796875 848.558837890625 1662.1351318359375 945.359130859375],0.6684999465942383,NSC0121,0.2037174112647486
2741,751.0,[1236.705709780576 400.51810961043157 1945.2746557129817 1096.3918207636943],[1457.381103515625 897.42919921875 1654.5567626953125 1000.5157470703125],0.6573266386985779,SFL0172,0.03701182266675307
2742,751.0,[1232.2884165353921 410.1233593652678 1945.5857156468087 1109.833656103074],[1450.848388671875 907.9024658203125 1653.21630859375 1009.7486572265625],0.6750960350036621,NGR8472,0.16111675965811467
2748,751.0,[1200.5131478881233 472.99252737946034 1935.1138135673439 1206.909022758222],[1429.404296875 995.2589721679688 1635.6141357421875 1096.2607421875],0.7349154353141785,SCC8379,0.08242644303478754
2749,751.0,[1197.7242539454162 484.076037486682 1935.0853054519378 1224.1766872052553],[1424.19580078125 1011.7657470703125 1631.9571533203125 1113.4727783203125],0.6926602125167847,NFC0179,0.14748115168861825
2757,751.0,[1150.5133985573007 570.3195225925353 1924.1385095041087 1355.630235477458],[1385.706787109375 1138.40234375 1605.123046875 1243.20458984375],0.7157180905342102,WFE8829,0.3399506771693989
2765,751.0,[1100.7117397452325 678.4985979394544 1918.821842363127 1507.6144832525636],[1351.85498046875 1288.602294921875 1570.2030029296875 1395.733642578125],0.713212788105011,XFC6179,0.5793403128676423
2777,751.0,[1011.1371694275242 862.7606843102665 1900.837213614255 1778.2427651803193],[1291.239501953125 1567.0880126953125 1526.751953125 1677.0941162109375],0.7301365733146667,WFE6179,0.6069345287855133
2778,751.0,[1005.9519119394303 877.6536415027608 1901.963485706574 1798.931153012892],[1284.712158203125 1598.505859375 1526.885009765625 1700.188720703125],0.7116714715957642,JFE6179,0.22860424252545772
