frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
25,1.0,[1730.8380895881003 974.5775800883098 2683.5284531769466 1940.5155773359934],[2111.09228515625 1762.27880859375 2333.5234375 1876.39453125],0.6991665363311768,INE3576,0.7097290595948181
28,1.0,[1720.098403333295 1100.096861658291 2724.8386008445423 2131.9615915409954],[2116.037841796875 1958.574462890625 2354.71142578125 2072.88720703125],0.697650134563446,IME3528,0.3190492750792598
395,70.0,[1822.7701583989458 638.5633462008971 2836.1510746701547 1788.170267789985],[2196.080078125 1663.531005859375 2423.055419921875 1777.63720703125],0.7433472871780396,NFL0242,0.3177138004029653
397,70.0,[1803.5327385013193 709.4380433541562 2849.8789410499953 1909.239409167654],[2186.37158203125 1783.6220703125 2420.618408203125 1900.140869140625],0.7281831502914429,XFL9262,0.2480072550988482
639,173.0,[1705.0214037097437 394.5364598592217 2546.3870314342694 1347.6627330064066],[2039.560546875 1207.236572265625 2233.075927734375 1308.26025390625],0.6372038722038269,AJX3289,0.08162745259985282
651,173.0,[1672.5131707710777 684.0761049932406 2666.995341644735 1836.9224155782626],[2066.44091796875 1712.3798828125 2284.25341796875 1824.470703125],0.6810938715934753,ALX3289,0.8335316124903249
655,173.0,[1650.4879764746402 809.2888048370069 2708.1133903939453 2062.225074223175],[2072.525634765625 1929.3760986328125 2308.32666015625 2046.3658447265625],0.6969337463378906,AAX3239,0.35909856716194044
656,173.0,[1645.119969772202 834.1192046159488 2719.011481782366 2106.6286651673317],[2075.347900390625 1987.88671875 2311.56787109375 2103.567626953125],0.701076328754425,ALX3288,0.3630748606932467
695,186.0,[1734.3946861773143 727.5932930310383 2705.1045448455084 1777.4288959794767],[2116.44384765625 1573.2666015625 2338.19580078125 1684.224365234375],0.6766776442527771,MGR6483,0.14308020967045862
958,224.0,[965.8811674801291 309.5677741327595 1678.5850254297752 1027.3569400886895],[1214.59033203125 854.487060546875 1388.6468505859375 946.050537109375],0.6222374439239502,NOA2550,0.1874913923196995
960,224.0,[947.8451511394647 357.67947660736576 1676.6248129191795 1087.4049086002385],[1192.44189453125 902.3988647460938 1384.72314453125 996.3806762695312],0.7105478644371033,FEN2550,0.1341377880152959
970,224.0,[838.8256809785571 610.4533480329636 1660.287319432864 1442.0235298631387],[1104.1298828125 1262.199462890625 1314.90185546875 1357.3289794921875],0.6698593497276306,MAN2330,0.14364898878493107
978,224.0,[715.3552525685501 862.3418463184795 1640.3077396861777 1807.1403777598234],[1022.1648559570312 1640.344482421875 1247.544921875 1747.371826171875],0.6978995203971863,JCX2550,0.15861464607758
1280,234.0,[250.23981756563506 740.3255832472694 1246.2925181656803 1773.9022728073885],[597.8712158203125 1527.775634765625 817.31396484375 1636.171875],0.6954110264778137,DAA9339,0.5847081372928807
1434,269.0,[1805.499012710335 851.5535993609915 2740.101880074292 1775.4109894611697],[2161.083251953125 1644.33544921875 2379.22998046875 1738.790771484375],0.6637638807296753,AGU6095,0.1546053110294288
2004,312.0,[1373.3551501770487 761.4364801499017 2383.703017087909 1847.0905489163101],[1743.2373046875 1563.3153076171875 1970.640380859375 1679.5469970703125],0.6965204477310181,UEL2556,0.15116484535585073
2144,333.0,[1134.8592634811935 377.9240949613738 1932.2225159939458 1295.5926688069858],[1405.629638671875 1011.9375 1581.2838134765625 1127.4686279296875],0.3649289309978485,FCA3682,0.04980754283500307
2150,333.0,[1036.9005426461583 505.26651195542115 1898.04820827885 1513.5088934744085],[1328.2728271484375 1237.822021484375 1515.4088134765625 1323.30078125],0.6337793469429016,ACA1652,0.1744795500241866
2155,333.0,[938.7662063891128 628.3217866198495 1868.5064790223935 1732.3679926325306],[1249.818115234375 1434.848876953125 1453.041015625 1526.38623046875],0.6529985666275024,BCA1662,0.3359799700190255
2156,333.0,[918.766695364239 652.3305843332066 1862.8164188728167 1780.5003310020259],[1233.473388671875 1476.7994384765625 1437.7769775390625 1574.0811767578125],0.6759294271469116,ACB1662,0.39356350503348553
2160,333.0,[839.6730326073471 758.45940797835 1835.0214060987273 1959.1651009205248],[1157.6231689453125 1662.453369140625 1379.6971435546875 1777.8695068359375],0.6879961490631104,ACA1652,0.35772861194646083
